descricao,valor,data_vencimento,data_pagamento,situacao 
teste a1,1000.0,2023-04-01,2023-04-02,ATIVO
teste a2,54.40,2023-04-02,2023-04-02,ATIVO
teste a2,54.40,2023-04-02,2023-04-02,ATIVO
teste a2,54.40,2023-04-02,2023-04-02,ATIVO
teste a2,54.40,2023-04-02,2023-04-02,ATIVO
teste a2,54.40,2023-04-02,2023-04-02,ATIVO
teste a2,54.40,2023-04-02,2023-04-02,ATIVO
teste a2,54.40,2023-04-02,2023-04-02,ATIVO
teste a2,54.40,2023-04-02,2023-04-02,ATIVO
teste a2,54.40,2023-04-02,2023-04-02,ATIVO
teste a2,54.40,2023-04-02,2023-04-02,ATIVO
teste b1,757.40,2023-05-02,2023-04-02,ATIVO
teste b1,757.40,2023-05-02,2023-04-02,ATIVO
teste b1,757.40,2023-05-02,2023-04-02,ATIVO
teste b1,757.40,2023-05-02,2023-04-02,ATIVO
teste b1,757.40,2023-05-02,2023-04-02,ATIVO
teste b1,757.40,2023-05-02,2023-04-02,ATIVO
teste b1,757.40,2023-05-02,2023-04-02,ATIVO
teste b1,757.40,2023-05-02,2023-04-02,ATIVO
teste b1,757.40,2023-05-02,2023-04-02,ATIVO
teste b1,757.40,2023-05-02,2023-04-02,ATIVO
teste b1,757.40,2023-05-02,2023-04-02,ATIVO
teste b1,757.40,2023-05-02,2023-04-02,ATIVO
teste b1,757.40,2023-05-02,2023-04-02,ATIVO
teste b1,757.40,2023-05-02,2023-04-02,ATIVO
teste b1,757.40,2023-05-02,2023-04-02,ATIVO
teste b1,757.40,2023-05-02,2023-04-02,ATIVO
teste b1,757.40,2023-05-02,2023-04-02,ATIVO
teste b1,757.40,2023-05-02,2023-04-02,ATIVO
teste b1,757.40,2023-05-02,2023-04-02,ATIVO
teste b1,757.40,2023-05-02,2023-04-02,ATIVO
teste c1,757.40,2023-06-02,2023-06-02,ATIVO
teste c1,757.40,2023-06-02,2023-06-02,ATIVO
teste c1,757.40,2023-06-02,2023-06-02,ATIVO
teste c1,757.40,2023-06-02,2023-06-02,ATIVO
teste c1,757.40,2023-06-02,2023-06-02,ATIVO
teste c1,757.40,2023-06-02,2023-06-02,ATIVO
teste c1,757.40,2023-06-02,2023-06-02,ATIVO
teste c1,757.40,2023-06-02,2023-06-02,ATIVO
teste c1,757.40,2023-06-02,2023-06-02,ATIVO
teste c1,757.40,2023-06-02,2023-06-02,ATIVO
teste c1,757.40,2023-06-02,2023-06-02,ATIVO
teste c1,757.40,2023-06-02,2023-06-02,ATIVO
teste c1,757.40,2023-06-02,2023-06-02,ATIVO
